seed,final_match_rate,max_match_rate,mean_match_rate,N_reached_80pct
0,87.14,92.14,73.1025,110
1,89.64,90.71,72.388125,130
2,90.0,90.36,71.45,140
3,87.5,91.07,72.79,140
4,88.21,90.0,72.1090625,120
5,88.57,91.07,72.29843749999999,120
6,91.07,91.07,73.0015625,110
7,90.71,90.71,72.86812499999999,120
8,90.36,91.79,71.7303125,120
9,87.86,91.79,72.5565625,130
10,90.71,91.07,72.745625,110
11,89.29,91.07,73.1809375,100
12,91.07,91.79,72.868125,140
13,86.79,90.0,71.7740625,110
14,88.93,90.36,71.5178125,140
15,88.21,88.57,71.316875,100
16,90.0,90.36,72.5675,100
17,87.86,88.93,71.4615625,120
18,90.0,90.0,71.8303125,120
19,89.29,91.07,73.09125,130
20,90.71,90.71,71.85249999999999,120
21,90.0,91.07,72.701875,110
22,84.29,88.93,72.33375,120
23,85.36,89.64,71.8975,120
24,86.43,90.0,73.15875,140
25,88.57,88.93,71.6959375,110
26,90.36,90.36,72.5784375,120
27,91.07,91.07,72.2428125,100
28,86.79,87.5,71.2165625,140
29,92.5,92.5,71.4953125,120
30,89.64,89.64,71.42875,110
31,88.21,89.64,72.04125,160
32,88.93,91.43,71.718125,130
33,89.29,91.07,71.8640625,120
34,88.57,91.79,72.1203125,110
35,85.71,91.07,72.27562499999999,120
36,90.36,90.36,73.146875,110
37,85.71,88.57,71.84125,130
38,87.86,90.0,71.83,130
39,90.71,91.07,72.31125,110
40,89.29,89.29,71.8075,140
41,86.43,90.71,72.1653125,140
42,90.71,90.71,71.2609375,130
43,86.79,90.71,71.6628125,130
44,89.64,90.71,71.896875,150
45,87.86,89.64,71.8646875,140
46,87.14,89.29,72.5109375,100
47,85.36,90.71,71.4390625,110
48,84.29,87.86,71.51875,120
49,85.71,91.79,72.6675,130
50,91.07,92.14,72.53375,140
51,87.86,91.07,71.418125,120
52,85.71,90.71,70.99312499999999,120
53,89.29,91.43,72.5884375,110
54,87.86,89.64,71.8196875,140
55,90.0,91.07,72.3771875,110
56,86.43,92.5,72.09875,110
57,89.64,90.71,71.6625,120
58,89.29,89.29,71.7190625,110
59,88.93,88.93,72.4778125,100
60,87.86,91.79,71.5071875,150
61,86.43,89.64,72.6665625,110
62,90.0,90.71,80.01241379310345,130
63,88.21,92.86,78.10379310344828,120
64,87.86,89.29,77.67206896551724,120
65,88.93,89.29,77.63586206896552,130
66,89.29,89.64,78.62068965517241,120
67,88.57,88.57,77.95551724137931,120
68,90.0,91.79,79.1751724137931,150
69,89.29,89.29,78.55896551724138,150
70,88.93,93.21,78.10275862068966,130
71,91.43,92.14,78.99068965517242,120
72,88.57,89.64,78.64551724137931,110
73,88.93,89.29,77.72137931034483,120
74,93.21,93.21,78.86689655172414,120
75,89.29,91.43,78.23896551724137,100
76,86.79,87.86,77.37689655172413,130
77,88.21,88.21,78.34965517241379,110
78,88.57,90.0,78.32551724137932,120
79,88.57,90.71,78.62,140
80,83.93,88.21,77.10620689655173,140
81,90.36,91.79,78.36241379310344,130
82,86.79,89.64,78.64482758620689,100
83,88.93,90.36,78.79310344827586,110
84,90.71,91.79,78.04241379310345,110
85,86.07,90.36,78.64482758620689,120
86,86.43,89.29,78.48482758620689,90
87,88.57,90.0,79.11241379310344,110
88,88.21,88.93,78.3003448275862,130
89,88.21,90.36,78.4351724137931,130
90,87.86,89.29,77.77172413793105,130
91,88.93,88.93,78.81689655172414,110
92,86.43,91.79,78.83000000000001,120
93,88.21,89.64,77.91827586206897,130
94,91.43,91.43,78.89241379310346,120
95,87.14,88.57,78.4351724137931,110
96,91.79,91.79,79.24862068965517,110
97,87.14,88.93,77.25413793103448,110
98,89.29,89.29,79.02724137931034,110
99,89.29,92.5,77.62310344827587,120
