x,y,N,club_agreement,aim_agreement,joint_agreement,n_seeds
-17.77777777777778,102.00831623410932,300,0.42,0.46,0.23,100
-40.0,102.00831623410932,300,0.46,0.67,0.38,100
-28.88888888888889,102.00831623410932,300,0.48,0.56,0.32,100
15.555555555555555,102.00831623410932,300,0.48,0.14,0.11,100
48.888888888888886,110.67636893979422,300,0.5,0.3,0.21,100
4.444444444444443,110.67636893979422,300,0.5,0.31,0.28,100
37.77777777777777,171.35273787958843,300,0.53,0.27,0.19,100
15.555555555555555,93.34026352842444,300,0.53,0.19,0.18,100
4.444444444444443,102.00831623410932,300,0.53,0.12,0.11,100
48.888888888888886,275.3693703478071,300,0.54,0.39,0.33,100
60.0,145.34857976253377,300,0.55,0.46,0.41,100
60.0,110.67636893979422,300,0.56,0.52,0.37,100
60.0,119.3444216454791,300,0.57,0.46,0.39,100
15.555555555555555,128.01247435116397,300,0.57,0.13,0.13,100
-6.666666666666671,180.02079058527332,300,0.58,0.23,0.16,100
4.444444444444443,223.36105411369775,300,0.59,0.37,0.19,100
4.444444444444443,93.34026352842444,300,0.6,0.29,0.15,100
-6.666666666666671,102.00831623410932,300,0.6,0.31,0.24,100
-17.77777777777778,214.6930014080129,300,0.6,0.22,0.22,100
37.77777777777777,240.69715952506752,300,0.61,0.41,0.25,100
37.77777777777777,110.67636893979422,300,0.64,0.21,0.11,100
15.555555555555555,180.02079058527332,300,0.65,0.21,0.17,100
-6.666666666666671,110.67636893979422,300,0.66,0.29,0.29,100
4.444444444444443,180.02079058527332,300,0.69,0.24,0.18,100
37.77777777777777,197.3568959966431,300,0.7,0.2,0.2,100
-40.0,206.024948702328,300,0.7,0.31,0.27,100
-17.77777777777778,223.36105411369775,300,0.72,0.27,0.27,100
-40.0,284.037423053492,300,0.72,0.37,0.37,100
15.555555555555555,110.67636893979422,300,0.72,0.22,0.16,100
37.77777777777777,102.00831623410932,300,0.74,0.17,0.14,100
4.444444444444443,128.01247435116397,300,0.74,0.19,0.19,100
-6.666666666666671,58.668052705684886,300,0.75,0.46,0.33,100
60.0,128.01247435116397,300,0.77,0.39,0.25,100
60.0,102.00831623410932,300,0.77,0.4,0.35,100
-6.666666666666671,223.36105411369775,300,0.78,0.36,0.35,100
